"season_type","mean","hpd_low","hpd_upp","compare_location"
"2007/2008",0.19769534470679,0.162508302843202,0.235199422555688,"East Asia and South Asia"
"2008/2009",0.23600234491195,0.199008851993962,0.273872362941748,"East Asia and South Asia"
"2009/2010",0.230545332524634,0.167242172296252,0.28342767347427,"East Asia and South Asia"
"2010/2011",0.298610417839052,0.261026151330716,0.342564019703436,"East Asia and South Asia"
"2011/2012",0.236942745604152,0.201175282551754,0.271657872633616,"East Asia and South Asia"
"2012/2013",0.278744815676715,0.233350970848287,0.32670264145592,"East Asia and South Asia"
"2013/2014",0.298344795633713,0.259727038503716,0.342906301894912,"East Asia and South Asia"
"2014/2015",0.264279790325937,0.233404502577976,0.300936628894957,"East Asia and South Asia"
"2015/2016",0.251170623375606,0.218813560590803,0.27975627596492,"East Asia and South Asia"
"2016/2017",0.32661642729704,0.298016662910655,0.358991543151067,"East Asia and South Asia"
"2017/2018",0.264364733506,0.230233258965664,0.300097176327245,"East Asia and South Asia"
"2018/2019",0.256983022554961,0.226700941529584,0.287108681913895,"East Asia and South Asia"
"2019/2020",0.25468793665467,0.225072957095525,0.284910377136558,"East Asia and South Asia"
"2020/2021",0.230873585027302,0.199758749958971,0.267632805973376,"East Asia and South Asia"
"2021/2022",0,0,0,"East Asia and South Asia"
"2022/2023",0.205243272002679,0.176945843334908,0.230519689861267,"East Asia and South Asia"
"2007/2008",0.334063893352243,0.295752747905686,0.372238005608487,"East Asia and Southeast Asia"
"2008/2009",0.400779386061673,0.365761530056347,0.441155624696656,"East Asia and Southeast Asia"
"2009/2010",0.336614429641068,0.290650652892717,0.388905169357341,"East Asia and Southeast Asia"
"2010/2011",0.326338993017097,0.290410698318945,0.367008759192265,"East Asia and Southeast Asia"
"2011/2012",0.345040501937723,0.308581947624944,0.383007494634957,"East Asia and Southeast Asia"
"2012/2013",0.286012982209768,0.237890325545316,0.335612388351995,"East Asia and Southeast Asia"
"2013/2014",0.324664079533833,0.283496534092368,0.365146555677878,"East Asia and Southeast Asia"
"2014/2015",0.283255232327847,0.25045940255099,0.316382505025365,"East Asia and Southeast Asia"
"2015/2016",0.267795640681804,0.233073917840712,0.300379997031944,"East Asia and Southeast Asia"
"2016/2017",0.37226983738528,0.340149757774602,0.409105185451809,"East Asia and Southeast Asia"
"2017/2018",0.367959797772782,0.325402222599855,0.405328263032852,"East Asia and Southeast Asia"
"2018/2019",0.408044996340993,0.37700186965063,0.444022410425033,"East Asia and Southeast Asia"
"2019/2020",0.35531619060229,0.319652765986148,0.392939673923896,"East Asia and Southeast Asia"
"2020/2021",0.320743779372964,0.259080110048287,0.383694400761153,"East Asia and Southeast Asia"
"2021/2022",0.0197152268084384,0.00894002425958665,0.0331969881457558,"East Asia and Southeast Asia"
"2022/2023",0.233892885157443,0.20394054219869,0.262256364193081,"East Asia and Southeast Asia"
"2007/2008",0.260383423092403,0.218924472670602,0.303621858572856,"Southeast Asia and South Asia"
"2008/2009",0.267069160423858,0.225363667828318,0.307807605262373,"Southeast Asia and South Asia"
"2009/2010",0.249765953535772,0.192305750284192,0.303634686407851,"Southeast Asia and South Asia"
"2010/2011",0.444652139526041,0.393106343526487,0.494159015149269,"Southeast Asia and South Asia"
"2011/2012",0.207190906421958,0.156948776164726,0.258514436290591,"Southeast Asia and South Asia"
"2012/2013",0.267088974015224,0.229475468981631,0.311271273642221,"Southeast Asia and South Asia"
"2013/2014",0.238480480029608,0.193832829879751,0.28224133464391,"Southeast Asia and South Asia"
"2014/2015",0.378457429286022,0.348294709311539,0.418311085956501,"Southeast Asia and South Asia"
"2015/2016",0.221607149300946,0.185757572320458,0.252286032046803,"Southeast Asia and South Asia"
"2016/2017",0.41576121131729,0.379530061096519,0.456272378831752,"Southeast Asia and South Asia"
"2017/2018",0.235354197276924,0.203508965835069,0.264577485162111,"Southeast Asia and South Asia"
"2018/2019",0.288460240016045,0.255481296546324,0.324297602493808,"Southeast Asia and South Asia"
"2019/2020",0.276515312159387,0.240353600082455,0.310390055886536,"Southeast Asia and South Asia"
"2020/2021",0.192994089486162,0.163264300108582,0.221538808346054,"Southeast Asia and South Asia"
"2021/2022",0.274844334500852,0.227970814592964,0.316627463845947,"Southeast Asia and South Asia"
"2022/2023",0.281451514295092,0.246529684198652,0.315461040223572,"Southeast Asia and South Asia"
